StudentID;Name;Mail;Password;GuardianID;Gender;SchoolID
28;Aluno28;emailaluno28@gmail.com;ᚫꛘ♕睯奤艝;28;M;1
29;Aluno29;emailaluno29@gmail.com;ᚫꛘ♕睯奤艝;29;M;1
30;Aluno30;emailaluno30@gmail.com;ᚫꛘ♕睯奤艝;30;M;1
31;Aluno31;emailaluno31@gmail.com;ᚫꛘ♕睯奤艝;31;M;1
32;Aluno32;emailaluno32@gmail.com;ᚫꛘ♕睯奤艝;32;M;1
33;Aluno33;emailaluno33@gmail.com;ᚫꛘ♕睯奤艝;33;M;1
34;Aluno34;emailaluno34@gmail.com;ᚫꛘ♕睯奤艝;34;M;1
35;Aluno35;emailaluno35@gmail.com;ᚫꛘ♕睯奤艝;35;M;1
36;Aluno36;emailaluno36@gmail.com;ᚫꛘ♕睯奤艝;36;F;1
37;Aluno37;emailaluno37@gmail.com;ᚫꛘ♕睯奤艝;37;M;1
38;Aluno38;emailaluno38@gmail.com;ᚫꛘ♕睯奤艝;38;M;1
39;Aluno39;emailaluno39@gmail.com;ᚫꛘ♕睯奤艝;39;F;1
40;Aluno40;emailaluno40@gmail.com;ᚫꛘ♕睯奤艝;40;F;1
41;Aluno41;emailaluno41@gmail.com;ᚫꛘ♕睯奤艝;41;F;1
42;Aluno42;emailaluno42@gmail.com;ᚫꛘ♕睯奤艝;42;M;1
43;Aluno43;emailaluno43@gmail.com;ᚫꛘ♕睯奤艝;43;M;1
44;Aluno44;emailaluno44@gmail.com;ᚫꛘ♕睯奤艝;44;M;1
45;Aluno45;emailaluno45@gmail.com;ᚫꛘ♕睯奤艝;45;F;1
46;Aluno46;emailaluno46@gmail.com;ᚫꛘ♕睯奤艝;46;F;1
47;Aluno47;emailaluno47@gmail.com;ᚫꛘ♕睯奤艝;47;F;1
48;Aluno48;emailaluno48@gmail.com;ᚫꛘ♕睯奤艝;48;M;1
49;Aluno49;emailaluno49@gmail.com;ᚫꛘ♕睯奤艝;49;M;1
50;Aluno50;emailaluno50@gmail.com;ᚫꛘ♕睯奤艝;50;F;1
51;Aluno51;emailaluno51@gmail.com;ᚫꛘ♕睯奤艝;51;F;1
52;Aluno52;emailaluno52@gmail.com;ᚫꛘ♕睯奤艝;52;F;1
53;Aluno53;emailaluno53@gmail.com;ᚫꛘ♕睯奤艝;53;M;1
54;Aluno54;emailaluno54@gmail.com;ᚫꛘ♕睯奤艝;54;F;1
55;Aluno55;emailaluno55@gmail.com;ᚫꛘ♕睯奤艝;55;F;1
56;Aluno56;emailaluno56@gmail.com;ᚫꛘ♕睯奤艝;56;F;1
57;Aluno57;emailaluno57@gmail.com;ᚫꛘ♕睯奤艝;57;F;1
58;Aluno58;emailaluno58@gmail.com;ᚫꛘ♕睯奤艝;58;M;1
59;Aluno59;emailaluno59@gmail.com;ᚫꛘ♕睯奤艝;59;M;1
60;Aluno60;emailaluno60@gmail.com;ᚫꛘ♕睯奤艝;60;F;1
61;Aluno61;emailaluno61@gmail.com;ᚫꛘ♕睯奤艝;61;F;1
62;Aluno62;emailaluno62@gmail.com;ᚫꛘ♕睯奤艝;62;F;1
63;Aluno63;emailaluno63@gmail.com;ᚫꛘ♕睯奤艝;63;F;1
64;Aluno64;emailaluno64@gmail.com;ᚫꛘ♕睯奤艝;64;F;1
65;Aluno65;emailaluno65@gmail.com;ᚫꛘ♕睯奤艝;65;F;1
66;Aluno66;emailaluno66@gmail.com;ᚫꛘ♕睯奤艝;66;F;1
67;Aluno67;emailaluno67@gmail.com;ᚫꛘ♕睯奤艝;67;M;1
68;Aluno68;emailaluno68@gmail.com;ᚫꛘ♕睯奤艝;68;F;1
69;Aluno69;emailaluno69@gmail.com;ᚫꛘ♕睯奤艝;69;F;1
70;Aluno70;emailaluno70@gmail.com;ᚫꛘ♕睯奤艝;70;F;1
71;Aluno71;emailaluno71@gmail.com;ᚫꛘ♕睯奤艝;71;M;1
72;Aluno72;emailaluno72@gmail.com;ᚫꛘ♕睯奤艝;72;M;1
73;Aluno73;emailaluno73@gmail.com;ᚫꛘ♕睯奤艝;73;F;1
74;Aluno74;emailaluno74@gmail.com;ᚫꛘ♕睯奤艝;74;M;1
75;Aluno75;emailaluno75@gmail.com;ᚫꛘ♕睯奤艝;75;F;1
76;Aluno76;emailaluno76@gmail.com;ᚫꛘ♕睯奤艝;76;M;1
77;Aluno77;emailaluno77@gmail.com;ᚫꛘ♕睯奤艝;77;M;1
78;Aluno78;emailaluno78@gmail.com;ᚫꛘ♕睯奤艝;78;F;1
79;Aluno79;emailaluno79@gmail.com;ᚫꛘ♕睯奤艝;79;M;1
80;Aluno80;emailaluno80@gmail.com;ᚫꛘ♕睯奤艝;80;F;1
81;Aluno81;emailaluno81@gmail.com;ᚫꛘ♕睯奤艝;81;M;1
82;Aluno82;emailaluno82@gmail.com;ᚫꛘ♕睯奤艝;82;M;1
83;Aluno83;emailaluno83@gmail.com;ᚫꛘ♕睯奤艝;83;F;1
84;Aluno84;emailaluno84@gmail.com;ᚫꛘ♕睯奤艝;84;M;1
85;Aluno85;emailaluno85@gmail.com;ᚫꛘ♕睯奤艝;85;F;1
86;Aluno86;emailaluno86@gmail.com;ᚫꛘ♕睯奤艝;86;F;1
87;Aluno87;emailaluno87@gmail.com;ᚫꛘ♕睯奤艝;87;F;1
88;Aluno88;emailaluno88@gmail.com;ᚫꛘ♕睯奤艝;88;F;1
89;Aluno89;emailaluno89@gmail.com;ᚫꛘ♕睯奤艝;89;M;1
90;Aluno90;emailaluno90@gmail.com;ᚫꛘ♕睯奤艝;90;M;1
91;Aluno91;emailaluno91@gmail.com;ᚫꛘ♕睯奤艝;91;F;1
92;Aluno92;emailaluno92@gmail.com;ᚫꛘ♕睯奤艝;92;F;1
93;Aluno93;emailaluno93@gmail.com;ᚫꛘ♕睯奤艝;93;F;1
94;Aluno94;emailaluno94@gmail.com;ᚫꛘ♕睯奤艝;94;F;1
95;Aluno95;emailaluno95@gmail.com;ᚫꛘ♕睯奤艝;95;M;1
96;Aluno96;emailaluno96@gmail.com;ᚫꛘ♕睯奤艝;96;F;1
97;Aluno97;emailaluno97@gmail.com;ᚫꛘ♕睯奤艝;97;M;1
98;Aluno98;emailaluno98@gmail.com;ᚫꛘ♕睯奤艝;98;F;1
99;Aluno99;emailaluno99@gmail.com;ᚫꛘ♕睯奤艝;99;F;1
100;Aluno100;emailaluno100@gmail.com;ᚫꛘ♕睯奤艝;100;F;1
101;Aluno101;emailaluno101@gmail.com;ᚫꛘ♕睯奤艝;101;M;1
102;Aluno102;emailaluno102@gmail.com;ᚫꛘ♕睯奤艝;102;M;1
103;Aluno103;emailaluno103@gmail.com;ᚫꛘ♕睯奤艝;103;M;1
104;Aluno104;emailaluno104@gmail.com;ᚫꛘ♕睯奤艝;104;F;1
105;Aluno105;emailaluno105@gmail.com;ᚫꛘ♕睯奤艝;105;M;1
106;Aluno106;emailaluno106@gmail.com;ᚫꛘ♕睯奤艝;106;F;1
107;Aluno107;emailaluno107@gmail.com;ᚫꛘ♕睯奤艝;107;F;1
108;Aluno108;emailaluno108@gmail.com;ᚫꛘ♕睯奤艝;108;M;1
109;Aluno109;emailaluno109@gmail.com;ᚫꛘ♕睯奤艝;109;M;1
110;Aluno110;emailaluno110@gmail.com;ᚫꛘ♕睯奤艝;110;F;1
111;Aluno111;emailaluno111@gmail.com;ᚫꛘ♕睯奤艝;111;M;1
112;Aluno112;emailaluno112@gmail.com;ᚫꛘ♕睯奤艝;112;F;1
113;Aluno113;emailaluno113@gmail.com;ᚫꛘ♕睯奤艝;113;F;1
114;Aluno114;emailaluno114@gmail.com;ᚫꛘ♕睯奤艝;114;M;1
115;Aluno115;emailaluno115@gmail.com;ᚫꛘ♕睯奤艝;115;M;1
116;Aluno116;emailaluno116@gmail.com;ᚫꛘ♕睯奤艝;116;M;1
117;Aluno117;emailaluno117@gmail.com;ᚫꛘ♕睯奤艝;117;M;1
118;Aluno118;emailaluno118@gmail.com;ᚫꛘ♕睯奤艝;118;M;1
119;Aluno119;emailaluno119@gmail.com;ᚫꛘ♕睯奤艝;119;M;1
120;Aluno120;emailaluno120@gmail.com;ᚫꛘ♕睯奤艝;120;M;1
121;Aluno121;emailaluno121@gmail.com;ᚫꛘ♕睯奤艝;121;F;1
122;Aluno122;emailaluno122@gmail.com;ᚫꛘ♕睯奤艝;122;M;1
123;Aluno123;emailaluno123@gmail.com;ᚫꛘ♕睯奤艝;123;F;1
124;Aluno124;emailaluno124@gmail.com;ᚫꛘ♕睯奤艝;124;M;1
125;Aluno125;emailaluno125@gmail.com;ᚫꛘ♕睯奤艝;125;F;1
126;Aluno126;emailaluno126@gmail.com;ᚫꛘ♕睯奤艝;126;M;1
127;Aluno127;emailaluno127@gmail.com;ᚫꛘ♕睯奤艝;127;F;1
128;Aluno128;emailaluno128@gmail.com;ᚫꛘ♕睯奤艝;128;F;1
129;Aluno129;emailaluno129@gmail.com;ᚫꛘ♕睯奤艝;129;M;1
130;Aluno130;emailaluno130@gmail.com;ᚫꛘ♕睯奤艝;130;M;1
131;Aluno131;emailaluno131@gmail.com;ᚫꛘ♕睯奤艝;131;F;1
132;Aluno132;emailaluno132@gmail.com;ᚫꛘ♕睯奤艝;132;F;1
133;Aluno133;emailaluno133@gmail.com;ᚫꛘ♕睯奤艝;133;F;1
134;Aluno134;emailaluno134@gmail.com;ᚫꛘ♕睯奤艝;134;F;1
135;Aluno135;emailaluno135@gmail.com;ᚫꛘ♕睯奤艝;135;F;1
136;Aluno136;emailaluno136@gmail.com;ᚫꛘ♕睯奤艝;136;F;1
137;Aluno137;emailaluno137@gmail.com;ᚫꛘ♕睯奤艝;137;M;1
138;Aluno138;emailaluno138@gmail.com;ᚫꛘ♕睯奤艝;138;F;1
139;Aluno139;emailaluno139@gmail.com;ᚫꛘ♕睯奤艝;139;M;1
140;Aluno140;emailaluno140@gmail.com;ᚫꛘ♕睯奤艝;140;F;1
141;Aluno141;emailaluno141@gmail.com;ᚫꛘ♕睯奤艝;141;M;1
142;Aluno142;emailaluno142@gmail.com;ᚫꛘ♕睯奤艝;142;F;1
143;Aluno143;emailaluno143@gmail.com;ᚫꛘ♕睯奤艝;143;M;1
144;Aluno144;emailaluno144@gmail.com;ᚫꛘ♕睯奤艝;144;F;1
145;Aluno145;emailaluno145@gmail.com;ᚫꛘ♕睯奤艝;145;F;1
146;Aluno146;emailaluno146@gmail.com;ᚫꛘ♕睯奤艝;146;F;1
147;Aluno147;emailaluno147@gmail.com;ᚫꛘ♕睯奤艝;147;M;1
148;Aluno148;emailaluno148@gmail.com;ᚫꛘ♕睯奤艝;148;F;1
149;Aluno149;emailaluno149@gmail.com;ᚫꛘ♕睯奤艝;149;F;1
150;Aluno150;emailaluno150@gmail.com;ᚫꛘ♕睯奤艝;150;M;1
151;Aluno151;emailaluno151@gmail.com;ᚫꛘ♕睯奤艝;151;F;1
152;Aluno152;emailaluno152@gmail.com;ᚫꛘ♕睯奤艝;152;M;1
153;Aluno153;emailaluno153@gmail.com;ᚫꛘ♕睯奤艝;153;M;1
154;Aluno154;emailaluno154@gmail.com;ᚫꛘ♕睯奤艝;154;F;1
155;Aluno155;emailaluno155@gmail.com;ᚫꛘ♕睯奤艝;155;F;1
156;Aluno156;emailaluno156@gmail.com;ᚫꛘ♕睯奤艝;156;M;1
157;Aluno157;emailaluno157@gmail.com;ᚫꛘ♕睯奤艝;157;F;1
158;Aluno158;emailaluno158@gmail.com;ᚫꛘ♕睯奤艝;158;F;1
159;Aluno159;emailaluno159@gmail.com;ᚫꛘ♕睯奤艝;159;F;1
160;Aluno160;emailaluno160@gmail.com;ᚫꛘ♕睯奤艝;160;F;1
161;Aluno161;emailaluno161@gmail.com;ᚫꛘ♕睯奤艝;161;F;1
162;Aluno162;emailaluno162@gmail.com;ᚫꛘ♕睯奤艝;162;M;1
163;Aluno163;emailaluno163@gmail.com;ᚫꛘ♕睯奤艝;163;M;1
164;Aluno164;emailaluno164@gmail.com;ᚫꛘ♕睯奤艝;164;M;1
165;Aluno165;emailaluno165@gmail.com;ᚫꛘ♕睯奤艝;165;M;1
166;Aluno166;emailaluno166@gmail.com;ᚫꛘ♕睯奤艝;166;F;1
167;Aluno167;emailaluno167@gmail.com;ᚫꛘ♕睯奤艝;167;M;1
168;Aluno168;emailaluno168@gmail.com;ᚫꛘ♕睯奤艝;168;F;1
169;Aluno169;emailaluno169@gmail.com;ᚫꛘ♕睯奤艝;169;M;1
170;Aluno170;emailaluno170@gmail.com;ᚫꛘ♕睯奤艝;170;M;1
171;Aluno171;emailaluno171@gmail.com;ᚫꛘ♕睯奤艝;171;F;1
172;Aluno172;emailaluno172@gmail.com;ᚫꛘ♕睯奤艝;172;M;1
173;Aluno173;emailaluno173@gmail.com;ᚫꛘ♕睯奤艝;173;M;1
174;Aluno174;emailaluno174@gmail.com;ᚫꛘ♕睯奤艝;174;M;1
175;Aluno175;emailaluno175@gmail.com;ᚫꛘ♕睯奤艝;175;M;1
176;Aluno176;emailaluno176@gmail.com;ᚫꛘ♕睯奤艝;176;M;1
177;Aluno177;emailaluno177@gmail.com;ᚫꛘ♕睯奤艝;177;M;1
178;Aluno178;emailaluno178@gmail.com;ᚫꛘ♕睯奤艝;178;M;1
179;Aluno179;emailaluno179@gmail.com;ᚫꛘ♕睯奤艝;179;M;1
180;Aluno180;emailaluno180@gmail.com;ᚫꛘ♕睯奤艝;180;M;1
181;Aluno181;emailaluno181@gmail.com;ᚫꛘ♕睯奤艝;181;M;1
182;Aluno182;emailaluno182@gmail.com;ᚫꛘ♕睯奤艝;182;F;1
183;Aluno183;emailaluno183@gmail.com;ᚫꛘ♕睯奤艝;183;F;1
184;Aluno184;emailaluno184@gmail.com;ᚫꛘ♕睯奤艝;184;F;1
185;Aluno185;emailaluno185@gmail.com;ᚫꛘ♕睯奤艝;185;M;1
186;Aluno186;emailaluno186@gmail.com;ᚫꛘ♕睯奤艝;186;M;1
187;Aluno187;emailaluno187@gmail.com;ᚫꛘ♕睯奤艝;187;M;1
188;Aluno188;emailaluno188@gmail.com;ᚫꛘ♕睯奤艝;188;F;1
189;Aluno189;emailaluno189@gmail.com;ᚫꛘ♕睯奤艝;189;F;1
190;Aluno190;emailaluno190@gmail.com;ᚫꛘ♕睯奤艝;190;M;1
191;Aluno191;emailaluno191@gmail.com;ᚫꛘ♕睯奤艝;191;F;1
192;Aluno192;emailaluno192@gmail.com;ᚫꛘ♕睯奤艝;192;M;1
193;Aluno193;emailaluno193@gmail.com;ᚫꛘ♕睯奤艝;193;M;1
194;Aluno194;emailaluno194@gmail.com;ᚫꛘ♕睯奤艝;194;M;1
195;Aluno195;emailaluno195@gmail.com;ᚫꛘ♕睯奤艝;195;M;1
196;Aluno196;emailaluno196@gmail.com;ᚫꛘ♕睯奤艝;196;M;1
197;Aluno197;emailaluno197@gmail.com;ᚫꛘ♕睯奤艝;197;F;1
198;Aluno198;emailaluno198@gmail.com;ᚫꛘ♕睯奤艝;198;F;1
199;Aluno199;emailaluno199@gmail.com;ᚫꛘ♕睯奤艝;199;F;1
200;Aluno200;emailaluno200@gmail.com;ᚫꛘ♕睯奤艝;200;M;1
201;Aluno201;emailaluno201@gmail.com;ᚫꛘ♕睯奤艝;201;M;1
202;Aluno202;emailaluno202@gmail.com;ᚫꛘ♕睯奤艝;202;M;1
203;Aluno203;emailaluno203@gmail.com;ᚫꛘ♕睯奤艝;203;F;1
204;Aluno204;emailaluno204@gmail.com;ᚫꛘ♕睯奤艝;204;M;1
205;Aluno205;emailaluno205@gmail.com;ᚫꛘ♕睯奤艝;205;F;1
206;Aluno206;emailaluno206@gmail.com;ᚫꛘ♕睯奤艝;206;F;1
207;Aluno207;emailaluno207@gmail.com;ᚫꛘ♕睯奤艝;207;M;1
208;Aluno208;emailaluno208@gmail.com;ᚫꛘ♕睯奤艝;208;M;1
209;Aluno209;emailaluno209@gmail.com;ᚫꛘ♕睯奤艝;209;M;1
210;Aluno210;emailaluno210@gmail.com;ᚫꛘ♕睯奤艝;210;F;1
211;Aluno211;emailaluno211@gmail.com;ᚫꛘ♕睯奤艝;211;M;1
212;Aluno212;emailaluno212@gmail.com;ᚫꛘ♕睯奤艝;212;M;1
213;Aluno213;emailaluno213@gmail.com;ᚫꛘ♕睯奤艝;213;F;1
214;Aluno214;emailaluno214@gmail.com;ᚫꛘ♕睯奤艝;214;F;1
215;Aluno215;emailaluno215@gmail.com;ᚫꛘ♕睯奤艝;215;F;1
216;Aluno216;emailaluno216@gmail.com;ᚫꛘ♕睯奤艝;216;F;1
217;Aluno217;emailaluno217@gmail.com;ᚫꛘ♕睯奤艝;217;F;1
218;Aluno218;emailaluno218@gmail.com;ᚫꛘ♕睯奤艝;218;F;1
219;Aluno219;emailaluno219@gmail.com;ᚫꛘ♕睯奤艝;219;F;1
220;Aluno220;emailaluno220@gmail.com;ᚫꛘ♕睯奤艝;220;F;1
221;Aluno221;emailaluno221@gmail.com;ᚫꛘ♕睯奤艝;221;F;1
222;Aluno222;emailaluno222@gmail.com;ᚫꛘ♕睯奤艝;222;F;1
223;Aluno223;emailaluno223@gmail.com;ᚫꛘ♕睯奤艝;223;F;1
224;Aluno224;emailaluno224@gmail.com;ᚫꛘ♕睯奤艝;224;F;1
225;Aluno225;emailaluno225@gmail.com;ᚫꛘ♕睯奤艝;225;F;1
226;Aluno226;emailaluno226@gmail.com;ᚫꛘ♕睯奤艝;226;M;1
227;Aluno227;emailaluno227@gmail.com;ᚫꛘ♕睯奤艝;227;F;1
228;Aluno228;emailaluno228@gmail.com;ᚫꛘ♕睯奤艝;228;M;1
229;Aluno229;emailaluno229@gmail.com;ᚫꛘ♕睯奤艝;229;F;1
230;Aluno230;emailaluno230@gmail.com;ᚫꛘ♕睯奤艝;230;F;1
231;Aluno231;emailaluno231@gmail.com;ᚫꛘ♕睯奤艝;231;F;1
232;Aluno232;emailaluno232@gmail.com;ᚫꛘ♕睯奤艝;232;M;1
233;Aluno233;emailaluno233@gmail.com;ᚫꛘ♕睯奤艝;233;F;1
234;Aluno234;emailaluno234@gmail.com;ᚫꛘ♕睯奤艝;234;F;1
235;Aluno235;emailaluno235@gmail.com;ᚫꛘ♕睯奤艝;235;F;1
236;Aluno236;emailaluno236@gmail.com;ᚫꛘ♕睯奤艝;236;F;1
237;Aluno237;emailaluno237@gmail.com;ᚫꛘ♕睯奤艝;237;F;1
238;Aluno238;emailaluno238@gmail.com;ᚫꛘ♕睯奤艝;238;M;1
239;Aluno239;emailaluno239@gmail.com;ᚫꛘ♕睯奤艝;239;F;1
240;Aluno240;emailaluno240@gmail.com;ᚫꛘ♕睯奤艝;240;F;1
241;Aluno241;emailaluno241@gmail.com;ᚫꛘ♕睯奤艝;241;F;1
242;Aluno242;emailaluno242@gmail.com;ᚫꛘ♕睯奤艝;242;M;1
243;Aluno243;emailaluno243@gmail.com;ᚫꛘ♕睯奤艝;243;M;1
244;Aluno244;emailaluno244@gmail.com;ᚫꛘ♕睯奤艝;244;F;1
245;Aluno245;emailaluno245@gmail.com;ᚫꛘ♕睯奤艝;245;F;1
246;Aluno246;emailaluno246@gmail.com;ᚫꛘ♕睯奤艝;246;M;1
247;Aluno247;emailaluno247@gmail.com;ᚫꛘ♕睯奤艝;247;M;1
248;Aluno248;emailaluno248@gmail.com;ᚫꛘ♕睯奤艝;248;M;1
249;Aluno249;emailaluno249@gmail.com;ᚫꛘ♕睯奤艝;249;M;1
250;Aluno250;emailaluno250@gmail.com;ᚫꛘ♕睯奤艝;250;M;1
251;Aluno251;emailaluno251@gmail.com;ᚫꛘ♕睯奤艝;251;M;1
252;Aluno252;emailaluno252@gmail.com;ᚫꛘ♕睯奤艝;252;F;1
253;Aluno253;emailaluno253@gmail.com;ᚫꛘ♕睯奤艝;253;F;1
254;Aluno254;emailaluno254@gmail.com;ᚫꛘ♕睯奤艝;254;F;1
255;Aluno255;emailaluno255@gmail.com;ᚫꛘ♕睯奤艝;255;F;1
256;Aluno256;emailaluno256@gmail.com;ᚫꛘ♕睯奤艝;256;F;1
257;Aluno257;emailaluno257@gmail.com;ᚫꛘ♕睯奤艝;257;M;1
258;Aluno258;emailaluno258@gmail.com;ᚫꛘ♕睯奤艝;258;M;1
259;Aluno259;emailaluno259@gmail.com;ᚫꛘ♕睯奤艝;259;F;1
260;Aluno260;emailaluno260@gmail.com;ᚫꛘ♕睯奤艝;260;F;1
261;Aluno261;emailaluno261@gmail.com;ᚫꛘ♕睯奤艝;261;F;1
262;Aluno262;emailaluno262@gmail.com;ᚫꛘ♕睯奤艝;262;F;1
263;Aluno263;emailaluno263@gmail.com;ᚫꛘ♕睯奤艝;263;F;1
264;Aluno264;emailaluno264@gmail.com;ᚫꛘ♕睯奤艝;264;M;1
265;Aluno265;emailaluno265@gmail.com;ᚫꛘ♕睯奤艝;265;F;1
266;Aluno266;emailaluno266@gmail.com;ᚫꛘ♕睯奤艝;266;F;1
267;Aluno267;emailaluno267@gmail.com;ᚫꛘ♕睯奤艝;267;F;1
268;Aluno268;emailaluno268@gmail.com;ᚫꛘ♕睯奤艝;268;M;1
269;Aluno269;emailaluno269@gmail.com;ᚫꛘ♕睯奤艝;269;M;1
270;Aluno270;emailaluno270@gmail.com;ᚫꛘ♕睯奤艝;270;M;1
271;Aluno271;emailaluno271@gmail.com;ᚫꛘ♕睯奤艝;271;M;1
272;Aluno272;emailaluno272@gmail.com;ᚫꛘ♕睯奤艝;272;F;1
273;Aluno273;emailaluno273@gmail.com;ᚫꛘ♕睯奤艝;273;M;1
274;Aluno274;emailaluno274@gmail.com;ᚫꛘ♕睯奤艝;274;F;1
275;Aluno275;emailaluno275@gmail.com;ᚫꛘ♕睯奤艝;275;F;1
276;Aluno276;emailaluno276@gmail.com;ᚫꛘ♕睯奤艝;276;F;1
277;Aluno277;emailaluno277@gmail.com;ᚫꛘ♕睯奤艝;277;M;1
278;Aluno278;emailaluno278@gmail.com;ᚫꛘ♕睯奤艝;278;F;1
279;Aluno279;emailaluno279@gmail.com;ᚫꛘ♕睯奤艝;279;M;1
280;Aluno280;emailaluno280@gmail.com;ᚫꛘ♕睯奤艝;280;M;1
281;Aluno281;emailaluno281@gmail.com;ᚫꛘ♕睯奤艝;281;M;1
282;Aluno282;emailaluno282@gmail.com;ᚫꛘ♕睯奤艝;282;M;1
283;Aluno283;emailaluno283@gmail.com;ᚫꛘ♕睯奤艝;283;M;1
284;Aluno284;emailaluno284@gmail.com;ᚫꛘ♕睯奤艝;284;M;1
285;Aluno285;emailaluno285@gmail.com;ᚫꛘ♕睯奤艝;285;M;1
286;Aluno286;emailaluno286@gmail.com;ᚫꛘ♕睯奤艝;286;M;1
287;Aluno287;emailaluno287@gmail.com;ᚫꛘ♕睯奤艝;287;M;1
288;Aluno288;emailaluno288@gmail.com;ᚫꛘ♕睯奤艝;288;M;1
289;Aluno289;emailaluno289@gmail.com;ᚫꛘ♕睯奤艝;289;F;1
290;Aluno290;emailaluno290@gmail.com;ᚫꛘ♕睯奤艝;290;F;1
291;Aluno291;emailaluno291@gmail.com;ᚫꛘ♕睯奤艝;291;F;1
292;Aluno292;emailaluno292@gmail.com;ᚫꛘ♕睯奤艝;292;M;1
293;Aluno293;emailaluno293@gmail.com;ᚫꛘ♕睯奤艝;293;F;1
294;Aluno294;emailaluno294@gmail.com;ᚫꛘ♕睯奤艝;294;F;1
295;Aluno295;emailaluno295@gmail.com;ᚫꛘ♕睯奤艝;295;F;1
296;Aluno296;emailaluno296@gmail.com;ᚫꛘ♕睯奤艝;296;M;1
297;Aluno297;emailaluno297@gmail.com;ᚫꛘ♕睯奤艝;297;M;1
298;Aluno298;emailaluno298@gmail.com;ᚫꛘ♕睯奤艝;298;M;1
299;Aluno299;emailaluno299@gmail.com;ᚫꛘ♕睯奤艝;299;F;1
300;Aluno300;emailaluno300@gmail.com;ᚫꛘ♕睯奤艝;300;F;1
301;Aluno301;emailaluno301@gmail.com;ᚫꛘ♕睯奤艝;301;F;1
302;Aluno302;emailaluno302@gmail.com;ᚫꛘ♕睯奤艝;302;M;1
303;Aluno303;emailaluno303@gmail.com;ᚫꛘ♕睯奤艝;303;M;1
304;Aluno304;emailaluno304@gmail.com;ᚫꛘ♕睯奤艝;304;F;1
305;Aluno305;emailaluno305@gmail.com;ᚫꛘ♕睯奤艝;305;F;1
306;Aluno306;emailaluno306@gmail.com;ᚫꛘ♕睯奤艝;306;M;1
307;Aluno307;emailaluno307@gmail.com;ᚫꛘ♕睯奤艝;307;M;1
308;Aluno308;emailaluno308@gmail.com;ᚫꛘ♕睯奤艝;308;M;1
309;Aluno309;emailaluno309@gmail.com;ᚫꛘ♕睯奤艝;309;F;1
310;Aluno310;emailaluno310@gmail.com;ᚫꛘ♕睯奤艝;310;M;1
311;Aluno311;emailaluno311@gmail.com;ᚫꛘ♕睯奤艝;311;F;1
312;Aluno312;emailaluno312@gmail.com;ᚫꛘ♕睯奤艝;312;F;1
313;Aluno313;emailaluno313@gmail.com;ᚫꛘ♕睯奤艝;313;F;1
314;Aluno314;emailaluno314@gmail.com;ᚫꛘ♕睯奤艝;314;F;1
315;Aluno315;emailaluno315@gmail.com;ᚫꛘ♕睯奤艝;315;M;1
316;Aluno316;emailaluno316@gmail.com;ᚫꛘ♕睯奤艝;316;F;1
